Bad-ID,Badtyp,Name,Straße,Postleitzahl,Ort,Ansprechpartner,Telefon,E-Mail-Adresse,Webseite,Gemeindekennzahl,Längengrad,Breitengrad,"Ganzjährig geöffnet","Beginn der Sommerzeit","Ende der Sommerzeit","Beginn der Winterzeit","Ende der Winterzeit",Baujahr,"Baukosten bei Fertigstellung","Währung der Baukosten","Baukosten heute (Euro)",Eigentümer,"Name des Eigentümers",Betreiber,"Name des Betreibers",Eigentümer-Risiko,Betreiber-Risiko,Besucher,"Eintritt Erwachsene","Ermäßigung Kind","Ermäßigung Familie","Ermäßigung Behinderte","Ermäßigung Senioren",Frühtarif,Abendtarif,Schulsport,"ÖPNV Strecke","ÖPNV <500m","PKW Parkplätze","Fahrrad Parkplätze","Behinderten Parkplätze",E-Ladestationen,"Gegenstrom Anlage",Schwimmwanderkanal,"10m Sprungturm","7,5m Sprungturm","5m Sprungturm","3m Sprungturm","3m Sprungbrett","1m Sprungbrett",Großrutsche,Kinderrutsche,"Separates Rutschbecken",Restaurant,Bistro,Essensautomat,"Bewirtung für Badegäste","Bewirtung öffentlich","Sportangebot an Land","Fläche Umkleide","Anzahl Sammelumkleiden","Anzahl Einzelumkleiden","Anzahl Spinde","Rollstuhl Stellplätze","Unterfahrbarer Waschtisch","Breite Liegen","Extra große Spinde","Barrierefreiheit Sonstiges","Kursraum ohne Geräte","Ausstattung Kursraum","Kursraum mit Geräten","Geräte Kursraum","Liegewiese Größe","Spielfläche Größe",einrichtung_spielflaeche,"Spielplatz Größe","Spielplatz Geräte","Beachfeld Größe",FKK-Fläche,"Installierte Fitnessgeräte","Sonstige Freiflächen","Sauna Fläche","Anzahl Saunen","Anzahl Solarien","Anzahl Massagen",Poollifter,"Barrierefreie Rutsche","Wasserabwesender Rollstuhl","Breite Gänge","Taktiles Leitsystem","Optische und akustische Anzeigen","Manuelles Kassensystem","Automatisches Kassensystem","Anlage dauerhaft geschlossen","Schließung Begründung","Anlage temporär geschlossen",Schließdatum,"Einschränkung Schwimmbetrieb","Einschränkungen Beschreibung","Einschränkung Funktion","Einschränkungen Funktion Beschreibung",WLAN,"Öffentliches Wlan",Mobilfunkstandard,"Badebetrieb neben Wettkampf","Energieeffiziente Maßnahmen","Zusätzliche Angebote","Nutzung durch Vereine","Nutzung durch Schulen","Nutzung durch Bürger","Nutzung durch Firmen","Nutzung durch VHS","Kommerzielle Nutzung","Sonstige Nutzer","Anteil Vereine","Anteil Schulen","Anteil Bürger","Anteil Firmen","Anteil VHS","Anteil Kommerzielle Nutzung","Anteil Sonstige Nutzer",Stundentarif,"Sonstige Tarife","Sonstige Sprungbretter",Startblöcke,"Anzahl Startblöcke",Kommentar,Öffnungsdatum,"Wettkampftauglichkeit Schwimmen","Wettkampftauglichkeit Wasserball","Wettkampftauglichkeit Springen","Wettkampftauglichkeit Rettungsschwimmen","Wettkampftauglichkeit Synchronschwimmen","Wettkampftauglichkeit Tauchen","Badpate vorhanden",Erweiterungen,Sanierungen,Förderungen
1,Hallenbad,"Bad 1","Kurt-Schumacher-Straße 14-16",27578,Bremerhaven,,"0471 3003 910",info@baeder-bhv.de,www.baeder-bhv.de/bad-1/,04012000,8.611282082930533,53.58661843781197,ja,,,,,,,,,"Gemeinde oder Stadt","Bremerhaven mbH","Gemeinde oder Stadt","Bremerhaven mbH",,,,7,ja,ja,nein,nein,nein,nein,,100,ja,,,,,nein,ja,nein,nein,nein,nein,ja,ja,,ja,ja,nein,ja,nein,ja,nein,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,ja,,,,,,,,,,,,ja,,,,,,,,,,,,,nein,,,
2,Freizeitbad,"Bad 2","Schillerstr. 144",27570,Bremerhaven,,"0471 3003900",info@baeder-bhv.de,www.baeder-bhv.de/bad-2/,04012000,8.5987616,53.5505283,ja,,,,,,,,,"Gemeinde oder Stadt","Bremerhaven mbH","Gemeinde oder Stadt","Bremerhaven mbH",,,,7,ja,ja,nein,nein,nein,nein,,150,ja,,,,,nein,nein,nein,nein,nein,nein,nein,nein,,nein,nein,nein,ja,nein,ja,nein,"Aqua-Fitness auch im Kursangebot. Sinnesbad und Wassertreten. Massage",,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,ja,,,,,,,,,,,,ja,,,,,,,,,,,,,nein,,,
3,Hallenbad,"Bad 3","Am Stadion 10",27580,Bremerhaven,,"0471 3003900",info@baeder-bhv.de,www.baeder-bhv.de/bad-3/,04012000,8.5813487,53.5799386,ja,,,,,,,,,"Gemeinde oder Stadt","Bremerhaven mbH","Gemeinde oder Stadt","Bremerhaven mbH",,,,4.2,ja,nein,nein,nein,nein,nein,,550,nein,,,,,nein,nein,nein,nein,nein,nein,nein,ja,nein,nein,nein,nein,nein,nein,nein,nein,Trainingslager,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,nein,,nein,,,,,,,,,,,"Kooperation mit Jugendherberge",ja,,ja,,,,,,,,,,,,ja,,,,,,,,,,,,,nein,,,
4,Hallenbad,"Bad in der Sportwelt","Hermann-Ritter-Straße 100",28197,Bremen,,"04292 8112025",,www.ulc-fitness.de/sportwelt-bremen-aqua-fitness,04011000,8.7731461,53.075831,ja,,,,,,,,,Privat,"ULC Management OHG",Privat,"ULC Management OHG",,,,,nein,nein,nein,nein,nein,nein,,550,nein,,,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,"Kursangebot über Betreiber",,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,nein,,nein,,,,,,,,,,,"Kursangebot über Anbieter",,,ja,,,ja,"Nur an bestimmten Tage für Öffentlichkeit",,,,,,,,nein,"grds. in Kursgebühr enthalten, Bäderkarte",,,,,,,,,,,,nein,,,
6,Freibad,"Freibad Blumenthal","Am Freibad 5",28779,Bremen,"Tobias Knopp","0421 69644461",blumenthal@bremer-baeder.de,www.bremer-baeder.de/index.php?module=locations&index[locations][action]=details&index[locations][data][locations_id]=9#tab2,04011000,8.5792046,53.1988158,nein,,,,,2010,,,,"Gemeinde oder Stadt","Bremer Bäder GmbH","Gemeinde oder Stadt","Bremer Bäder GmbH",,,,,,ja,ja,nein,ja,ja,,450,ja,,,,,nein,nein,nein,nein,ja,nein,ja,ja,nein,ja,nein,nein,ja,nein,ja,nein,"Matschtisch. Spielbach. Schaukel",,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,ja,,,,,,,,,,,,nein,"ALG-II. Schüler. Jugendliche. Bäderkarte",,,,,,,,,,,,nein,,,
7,Freibad,"Freibad Grünhöfe","Marschbrookweg 135",27574,Bremerhaven,,,info@baeder-bhv.de,www.bremerhaven.de/de/freizeit-kultur/baden-wellness/freibad-gruenhoefe.27041.html,04012000,8.6150577,53.517832,nein,Mai,September,,,,,,,"Gemeinde oder Stadt","Bremerhaven mbH","Gemeinde oder Stadt","Bremerhaven mbH",,,,3,ja,ja,nein,nein,nein,ja,,300,ja,,,,,nein,nein,nein,nein,nein,nein,ja,ja,nein,,nein,nein,ja,nein,ja,nein,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,ja,,,,,,,,,,,,nein,Saisonkarte,,,,,,,,,,,,nein,,,
8,Kombibad,"Horner Bad","Vorstraße 75 (Anfahrt über Spittaler Straße)",28359,Bremen,"Sabrina Winkler",04216915144,hornerbad@bremer-baeder.de,www.bremer-baeder.de/index.php?module=locations&index[locations][action]=details&index[locations][data][locations_id]=10#tab2,04011000,8.8687962,53.1064196,ja,Juli,September,Oktober,Juni,1932,,,30000000,"Gemeinde oder Stadt","Bremer Bäder GmbH","Gemeinde oder Stadt","Bremer Bäder GmbH",,,,6.2,ja,ja,ja,nein,nein,nein,,400,ja,,,,,nein,nein,nein,nein,nein,nein,nein,nein,nein,ja,nein,nein,ja,ja,ja,nein,"Liegewiese mit Beach-Volleyball-Feld, Matschspielplatz und vielen Spielgeräten",,,,,ja,,,,,nein,,nein,,,,,,,,,,,0,0,0,,ja,nein,ja,,ja,,ja,ja,nein,,nein,2018-10-01,nein,,nein,,ja,nein,"4G (LTE)",nein,,,ja,ja,ja,ja,nein,,,,,,,,,,ja,"Ermäßigungen für Schüler, Studierende, Arbeitslose, Sozialhilfeempfänger*innen,",,ja,10,"Auch im Sommer steht das Hallenbad zur Verfügung, beide Bäder mit unterschiedlichen Preisen",2022-06-04,,,,,,,ja,,"Neubau zu Kombibad Juni 2022 abgeschlossen",
9,Kombibad,"Freizeitbad Vegesack","Fährgrund 16-18",28755,Bremen,"Tobias Knopp","0421 699130",vegesack@bremer-baeder.de,www.bremer-baeder.de/index.php?module=locations&index[locations][action]=details&index[locations][data][locations_id]=4#tab2,04011000,8.6133224,53.1763127,ja,,,,,,,,,"Gemeinde oder Stadt","Bremer Bäder GmbH","Gemeinde oder Stadt","Bremer Bäder GmbH",,,,5.9,ja,ja,ja,nein,nein,nein,nein,120,ja,,,,,,ja,nein,nein,nein,nein,ja,ja,ja,ja,nein,,ja,nein,ja,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,ja,ja,,,,,,,,,,,,ja,"ALG-II. Schüler. Jugendliche. Bäderkarte",,,,,,,,,,,,nein,,,
23,Freibad,"Freibad Achern","Badstraße 6",77855,Achern,"Stadt Achern","07841 5206",stadtverwaltung@achern.de,www.achern.de/de/Freizeit%2BTourismus/Sport%2BFreizeit/Freibad,08317001,8.07268,48.62357,ja,,,,,,,,,,,,,,,,,,,ja,,,ja,,,,,,,,,,,,,ja,,ja,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,,
24,Freibad,"Schwimmbad Ahorn","Seestraße 29",74744,Ahorn-Buch,"Frank Werner","09340 292",w.frank@familienbad-ahorn.de,www.familienbad-ahorn.de,08128138,9.55787,49.54237,nein,,,,,1935,,,,,"Gemeinde Buch am Ahorn",Verein,"Förderverein Schwimmbad Ahorn e.V.",,,,3,ja,ja,ja,nein,nein,nein,nein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nein,,nein,,,,,,,,,,,,,,,,,,,,,,,,,,ja,,,,,,,,,,,,,nein,,,
