Becken-ID,Bad-ID,Beckentyp,"Abweichende Form","Lage des Beckens",Fläche,Länge,Breite,"Gleichmäßige Tiefe",Variofunktion,"Tiefe Minimum","Tiefe Maximum","Stufen Hubboden",Sprungbecken,"Besondere Aspekte",Schwimmen,Wasserball,Kunstspringen,Turmspringen,Kanu,Synchronschwimmen,Rettungsschwimmen,Anfängerschwimmen,"Sonstige Sportarten","Anzahl Bahnen"
1,1,Nichtschwimmerbecken,nein,,129,,,nein,nein,1.1,1.2,,nein,,,,,,,,,,,
2,1,Warmsprudelbecken,ja,,3.3,,,ja,nein,,1.25,,nein,,,,,,,,,,,
3,1,Kleinkinderbecken,ja,,20,,,nein,nein,0.2,0.25,,nein,,,,,,,,,,,
4,1,Warmsprudelbecken,ja,,68,,,nein,nein,1.1,1.3,,nein,,,,,,,,,,,
5,1,Schwimmerbecken,nein,,18,,,,,,,,ja,,,,,,,,,,,
5300,1,Variobecken,nein,,283,25,,nein,nein,1.25,3.8,,nein,,,,,,,,,,,
6,2,Kursbecken,ja,,58.6,,,nein,nein,0.86,1.3,,nein,,,,,,,,,,,
7,2,Kursbecken,nein,,93.3,,,ja,nein,,1.3,,nein,,,,,,,,,,,
8,2,Warmsprudelbecken,nein,,4.91,,,ja,nein,,1.15,,nein,,,,,,,,,,,
9,2,Warmsprudelbecken,nein,,12.56,,,ja,nein,,1.3,,nein,,,,,,,,,,,
10,2,Kaltwasser-Tretbecken,nein,,1.4,,,nein,ja,,1.3,,nein,,,,,,,,,,,
5301,2,Schwimmerbecken,nein,,60,,,nein,nein,0.9,2,,nein,,,,,,,,,,,
11,3,Kursbecken,nein,,100,,,nein,nein,0.45,1.15,,nein,,,,,,,,,,,
5302,3,Schwimmerbecken,nein,,1050,50,21,nein,nein,2,0.6,,nein,,,,,,,,,,,
5303,4,Kursbecken,nein,,,7.5,12,ja,nein,,1.34,,,,,,,,,,,,,
12,6,Nichtschwimmerbecken,ja,,,,,,,,,,,,,,,,,,,,,
13,6,Kleinkinderbecken,ja,,,,,,,,,,,,,,,,,,,,,
5305,6,Schwimmerbecken,nein,,,50,,,,,,,ja,,,,,,,,,,,
15,7,Nichtschwimmerbecken,nein,,968,,,nein,nein,1.25,0.45,,nein,,,,,,,,,,,
16,7,Kleinkinderbecken,nein,,240,,,nein,nein,0.35,0.1,,nein,,,,,,,,,,,
5306,7,Schwimmerbecken,nein,,1165,50,,nein,nein,3.6,1.8,,ja,,,,,,,,,,,
5307,8,Schwimmerbecken,nein,2,500,50,10,nein,nein,,1.8,,nein,"Multifunktionsbecken mit drei 50-Meter-Bahnen und fünf 25-Meter-Bahnen, der Nichtschwimmerbereich ist mit einer angehobenen Wassertiefe (60 bis 135 cm) ausgestattet inkl. Rutsche",ja,nein,nein,nein,nein,nein,nein,nein,,8
20102,8,Kleinkinderbecken,ja,2,,,,,nein,,,,nein,"Planschbecken (98 qm) mit Kleinkindrutsche, Fontänenfeld, Sonnensegel",nein,nein,nein,nein,nein,nein,nein,nein,,
20103,8,Kursbecken,ja,1,100,12,,ja,ja,0,2,6,nein,"Temperatur ca. 30 °C",nein,nein,nein,nein,,,nein,ja,"Babyschwimmkurse, Kleinkinderschwimmkurse, Aquafitkurse, Kinderschwimmkurse",
20104,8,Schwimmerbecken,nein,1,,50,,,ja,0,2,6,nein,"10 x 50 m-Bahnen im einem wettkampfgerechten Becken (Hubwand und Hubbrücke, Fina-Startsockel)",ja,,nein,nein,,,,ja,Aquatrainingskurse,10
14,9,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
5308,9,Schwimmerbecken,nein,,,25,,nein,,,,,ja,"Beckenlifter. Schwimmkurse",,,,,,,,,,
26,23,Schwimmerbecken,ja,,,,,nein,,1.85,3.48,,,,,,,,,,,,,
27,23,Nichtschwimmerbecken,nein,,,,,nein,,0.7,1.3,,,,,,,,,,,,,
28,23,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
29,23,Springerbecken,,,,,,ja,,,4.1,,,,,,,,,,,,,
19628,24,Schwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
30,25,Schwimmerbecken,,,,25,15,,,,,,ja,,,,,,,,,,,
31,25,Springerbecken,,,,,,,,,,,,,,,,,,,,,,
32,25,Nichtschwimmerbecken,,,,,,,,,,,,,,,,,,,,,,
33,25,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
34,27,Wellenbecken,,,,,,,,,,,,,,,,,,,,,,
35,27,Warmsprudelbecken,,,,,,,,,,,,,,,,,,,,,,
36,27,Kleinkinderbecken,,,,,,,,,,,,,,,,,,,,,,
37,28,Schwimmerbecken,nein,1,,25,12.5,nein,,1.05,3.05,,ja,,,,,,,,,,,5
38,28,Tauchbecken,,,,,,,,,,,,,,,,,,,,,,
42,32,Schwimmerbecken,,,,,,nein,,,,,,,,,,,,,,,,
